Nom;Prenom;Sexe;Date_Naissance;Lieu_Naissance;Classe;Tuteur_Nom;Tuteur_Prenom;Tuteur_Tel
BA;Hawa;F;08/11/2014;Ouahigouya;CE2 B;BA;Djo;+228 95933742
BAGAYOKO;Kadiatou;F;19/06/2014;Bamako;CE2 B;BAGAYOKO;George;+ 229 97210624
BALDE;Dzigbodi;M;29/06/2014;Tsévié;CE2 B;BALDE;Lamine;+ 229 96199635
CISSE;Kudzo;M;27/11/2014;Bamako;CE2 B;CISSE;Joseph;+ 225 91737893
CONTE;Abena;F;18/02/2014;Sotouboua;CE2 B;CONTE;Seydou;+ 223 94449324
DEMBELE;Moussa;M;20/05/2015;Sotouboua;CE2 B;DEMBELE;Franck;+ 225 93415796
DIALLO;Mamadou;M;19/08/2014;Parakou;CE2 B;DIALLO;Amadou;+228 92678638
DIARRA;Ibrahim;M;03/02/2014;Conakry;CE2 B;DIARRA;Oumar;+ 229 99153486
FOFANA;Adjoa;F;15/03/2015;Mbour;CE2 B;FOFANA;Pierre;+ 225 98874152
KEITA;Mamadou;M;02/05/2015;Lomé;CE2 B;KEITA;Boèvi;+ 225 92194789
KOITA;Afua;F;04/05/2014;Bassar;CE2 B;KOITA;Emmanuel;+ 223 92607983
LY;Ousmane;M;24/10/2015;Vogan;CE2 B;LY;Babacar;+ 229 92726327
SISSOKO;Mariama;F;24/03/2015;Sekondi;CE2 B;SISSOKO;Modibo;+ 223 97175395
SOW;Abdoulaye;M;10/01/2014;San-Pédro;CE2 B;SOW;Paul;+228 96003042
TOUNKARA;Fatoumata;F;16/09/2015;Porto-Novo;CE2 B;TOUNKARA;Dodji;+228 91548511
BA;Ewoenam;F;19/05/2014;Kayes;CM1 A;BA;Pierre;+228 91664863
BAGAYOKO;Afia;F;25/09/2013;Kumasi;CM1 A;BAGAYOKO;Seydou;+ 223 93786401
DEMBELE;Kossi;M;28/02/2014;Lomé;CM1 A;DEMBELE;Kwame;+ 223 94770422
DIARRA;Edem;M;31/10/2013;Natitingou;CM1 A;DIARRA;Amadou;+228 94163953
DIOP;Sena;F;18/03/2013;Tsévié;CM1 A;DIOP;Emmanuel;+ 229 90044891
FALL;Cheikh;M;28/04/2013;Bassar;CM1 A;FALL;Babacar;+ 221 94663623
GUEYE;Ekoe;M;23/08/2014;Mopti;CM1 A;GUEYE;Franck;+ 221 94886520
KEITA;Mawuli;M;04/08/2014;Tsévié;CM1 A;KEITA;Ibrahim;+ 221 98250138
KOITA;Abla;F;02/01/2014;Bamako;CM1 A;KOITA;Mawuli;+ 225 92118618
KONAN;Atsu;M;08/11/2013;Porto-Novo;CM1 A;KONAN;Boèvi;+ 223 93318855
LY;Yawo;M;07/11/2013;Porto-Novo;CM1 A;LY;Joseph;+228 92634980
SISSOKO;Efua;F;21/10/2013;Koudougou;CM1 A;SISSOKO;Ousmane;+228 92545556
SOW;Yao;M;30/08/2014;Sekondi;CM1 A;SOW;Lamine;+ 225 99873813
THIAM;Enyonam;F;10/04/2013;Kankan;CM1 A;THIAM;Dodji;+ 225 97617381
TOUNKARA;Akua;F;15/08/2014;Bouaké;CM1 A;TOUNKARA;Mamadou;+ 229 90861958
ABLAM;Kodjo;M;04/12/2012;Koudougou;CM2 A;ABLAM;Dodji;+ 223 91458591
AGBEKO;Abla;F;01/08/2012;Labé;CM2 A;AGBEKO;Mamadou;+ 225 98398441
AMOUZOU;Akosua;F;19/12/2013;Tamale;CM2 A;AMOUZOU;Kodjo;+ 223 96700828
ATTIOGBE;Kofi;M;05/04/2013;Saint-Louis;CM2 A;ATTIOGBE;Yao;+ 221 91525206
BOSSOU;Komi;M;11/10/2012;Thiès;CM2 A;BOSSOU;Amadou;+228 91876828
DAGNON;Efua;F;08/05/2013;Atakpamé;CM2 A;DAGNON;Seydou;+ 229 99518669
FIAGBE;Kossi;M;24/02/2012;Thiès;CM2 A;FIAGBE;Lamine;+228 98937326
FOLLY;Kwame;M;13/07/2012;Mopti;CM2 A;FOLLY;Edem;+ 221 98877065
GBADAGO;Afia;F;22/03/2012;Dakar;CM2 A;GBADAGO;Pierre;+ 223 92770370
GBENOU;Akoua;F;05/02/2012;Ouagadougou;CM2 A;GBENOU;Komi;+ 229 97082668
HOUNKPATIN;Komlan;M;30/09/2012;Bassar;CM2 A;HOUNKPATIN;Ibrahim;+ 225 98517169
LAILA;Julie;F;24/01/2012;Parakou;CM2 A;LAILA;George;+ 229 93744854
LOKOSSOU;Akua;F;12/03/2012;Notsé;CM2 A;LOKOSSOU;Ousmane;+ 223 98897858
NOMENYO;Kodjo;M;11/11/2013;Dapaong;CM2 A;NOMENYO;Kwame;+ 225 97294150
TOSSOU;Ama;F;28/09/2013;Lomé;CM2 A;TOSSOU;Mawuli;+228 99008867
ATSU;Coumba;F;26/05/2012;Sekondi;CM2 B;ATSU;Mamadou;+228 99723634
BEAVOGUI;Fassou;M;11/11/2012;Atakpamé;CM2 B;BEAVOGUI;Michel;+ 229 90538552
COULIBALY;Salimata;F;04/09/2013;Cape Coast;CM2 B;COULIBALY;Pierre;+ 225 94398338
DAKE;Aliou;M;04/08/2013;Cotonou;CM2 B;DAKE;Yao;+ 221 99595270
DAKU;Babacar;M;01/05/2013;Sikasso;CM2 B;DAKU;Edem;+228 98333700
DEKLU;Ndéye;F;20/04/2013;Daloa;CM2 B;DEKLU;Mawuli;+ 229 93189885
DJAGBA;Rokhaya;F;09/12/2013;Cape Coast;CM2 B;DJAGBA;Kodjo;+ 225 93342306
DJATO;Malick;M;09/03/2013;Dakar;CM2 B;DJATO;Amadou;+ 225 95682698
ESSOFA;Cheikh;M;25/11/2013;Labé;CM2 B;ESSOFA;Kwame;+ 229 91630140
GNON;Pape;M;05/12/2013;Kpalimé;CM2 B;GNON;Ibrahim;+ 225 95481437
GNONTO;Samba;M;12/09/2013;Kpalimé;CM2 B;GNONTO;Lamine;+ 221 90233516
KOUMA;Mariam;F;31/08/2012;Tsévié;CM2 B;KOUMA;Seydou;+ 229 93785186
KUDZO;Khady;F;07/03/2013;Aného;CM2 B;KUDZO;Ousmane;+ 223 96138070
OUEDRAOGO;Souleymane;M;12/11/2013;Bassar;CM2 B;OUEDRAOGO;Joseph;+ 229 97910069
SABI;Fatou;F;10/10/2013;Conakry;CM2 B;SABI;Komi;+ 225 90368085
ADJOVI;Akouvi;F;07/09/2017;Kankan;CP1 A;ADJOVI;Paul;+ 223 97038374
ATSU;Yawa;F;08/08/2018;Tsévié;CP1 A;ATSU;Koku;+ 221 99232926
CAMARA;Kweku;M;07/05/2018;Ouahigouya;CP1 A;CAMARA;Ibrahim;+ 225 94004485
COULIBALY;Mawuena;F;11/12/2017;Atakpamé;CP1 A;COULIBALY;Komi;+228 99800873
DJATO;Selom;M;06/01/2018;Yamoussoukro;CP1 A;DJATO;Kofi;+228 96550190
GNON;Agbeko;M;21/01/2017;Mbour;CP1 A;GNON;Yao;+228 91564689
GNONTO;Eyram;M;10/04/2017;Sotouboua;CP1 A;GNONTO;Yao;+228 99717032
KABORE;Selorm;F;03/03/2017;Mopti;CP1 A;KABORE;Mawuli;+228 93946066
KOUMA;Essi;F;10/08/2018;Tamale;CP1 A;KOUMA;Kodjo;+ 223 98164991
KOUYATE;Nana;F;05/07/2018;Ouahigouya;CP1 A;KOUYATE;Ousmane;+ 225 97670955
KUDZO;Kafui;F;14/03/2017;Thiès;CP1 A;KUDZO;Boeви;+ 221 93586084
OUEDRAOGO;Koku;M;30/09/2018;Ziguinchor;CP1 A;OUEDRAOGO;Edem;+ 229 90954280
SOME;Yayra;F;03/10/2017;Kumasi;CP1 A;SOME;Mamadou;+ 223 99482934
SOUMAH;Senyo;M;01/02/2018;Cape Coast;CP1 A;SOUMAH;Amadou;+ 223 99445465
ZONGO;Kwasi;M;19/02/2018;Cotonou;CP1 A;ZONGO;Kwame;+ 223 99974376
AGBEKO;Fatoumata;F;17/03/2016;Ségou;CP2 A;AGBEKO;Dodji;+ 225 91683838
BOSSOU;Seydou;M;23/10/2017;Accra;CP2 A;BOSSOU;Oumar;+228 95512415
DAGNON;Kadiatou;F;21/06/2017;Kankan;CP2 A;DAGNON;George;+ 221 99076742
EKLU;Aminata;F;20/02/2016;Yamoussoukro;CP2 A;EKLU;Koku;+ 223 94040453
FIAGBE;Modibo;M;03/10/2016;Cotonou;CP2 A;FIAGBE;Paul;+ 225 93816586
GBADAGO;Hawa;F;04/07/2016;Ouagadougou;CP2 A;GBADAGO;Djo;+228 97443690
HOEDANOU;Lamine;M;15/02/2016;Daloa;CP2 A;HOEDANOU;Kofi;+ 223 95018975
HOUNKPATIN;Ibrahima;M;17/02/2017;Cape Coast;CP2 A;HOUNKPATIN;Boèvi;+228 92418526
LOKOSSOU;Mariama;F;05/11/2017;Tsévié;CP2 A;LOKOSSOU;Modibo;+ 221 94446344
SYLLA;Awa;F;15/03/2016;Yamoussoukro;CP2 A;SYLLA;Ibrahim;+ 225 99344066
TAGBA;Adama;M;05/10/2017;Tchamba;CP2 A;TAGBA;Yao;+ 221 94261032
TETEVI;Boubacar;M;10/12/2016;Sokodé;CP2 A;TETEVI;Babacar;+228 95442103
TSEVI;Fanta;F;12/05/2016;San-Pédro;CP2 A;TSEVI;Komlan;+ 221 92442255
TSIKATA;Amadou;M;14/09/2016;Sikasso;CP2 A;TSIKATA;Ali;+ 229 92851852
YOVO;Maimouna;F;22/05/2017;Lomé;CP2 A;YOVO;Boeви;+ 221 94825658
ATSU;Chantal;F;21/06/2007;Cape Coast;Première A4;ATSU;Dodji;+ 229 97306261
DAKE;Jean;M;19/05/2006;Koudougou;Première A4;DAKE;Lamine;+ 221 96654757
DAKU;Pierre;M;20/11/2007;Dapaong;Première A4;DAKU;Joseph;+ 223 90689025
DEKLU;Oumou;F;14/09/2007;Ouahigouya;Première A4;DEKLU;Emmanuel;+ 225 91156902
DJAGBA;Awa;F;31/03/2006;Natitingou;Première A4;DJAGBA;Seydou;+228 99708718
DJATO;Felix;M;27/04/2007;Kpalimé;Première A4;DJATO;Oumar;+ 225 97563202
EKLU;Aya;F;21/04/2007;Tsévié;Première A4;EKLU;Mamadou;+228 90520596
ESSOFA;Joseph;M;28/01/2007;Kumasi;Première A4;ESSOFA;Franck;+ 221 91770648
GNON;Emmanuel;M;17/12/2006;Bobo-Dioulasso;Première A4;GNON;Boèvi;+ 225 99029043
HOEDANOU;Soumana;M;23/08/2006;Porto-Novo;Première A4;HOEDANOU;Amadou;+ 225 92815034
KUDZO;Solange;F;14/08/2007;Labé;Première A4;KUDZO;Modibo;+ 223 94502929
N'DIAYE;Moussa;M;18/02/2007;Abomey;Première A4;N'DIAYE;Oumar;+ 223 96067228
SABI;Laté;F;19/02/2006;Conakry;Première A4;SABI;Pierre;+ 229 91709620
TAGBA;Yacouba;M;27/04/2006;Sokodé;Première A4;TAGBA;Ibrahim;+ 223 92556551
YOVO;Afi;F;16/03/2006;Ouahigouya;Première A4;YOVO;Ousmane;+228 99461839
AGBEKO;Kadidiatou;F;07/01/2008;Kumasi;Seconde D;AGBEKO;Koku;+ 221 99799226
BOSSOU;Alioune;M;08/08/2007;Parakou;Seconde D;BOSSOU;Kofi;+ 221 98147720
DAGNON;Julie;F;11/07/2007;Ouahigouya;Seconde D;DAGNON;Kodjo;+ 221 92768991
FIAGBE;Karim;M;20/03/2008;Mbour;Seconde D;FIAGBE;Yao;+228 96610562
FOLLY;Oumar;M;11/06/2008;Mbour;Seconde D;FOLLY;Babacar;+228 92321531
GBADAGO;Marie;F;21/02/2007;Tamale;Seconde D;GBADAGO;Komi;+ 229 97746014
GBENOU;Bintou;F;03/08/2008;Kankan;Seconde D;GBENOU;Djo;+ 225 93934149
HOUNKPATIN;Ismaila;M;13/10/2007;Dakar;Seconde D;HOUNKPATIN;Yao;+228 95901533
KOUASSI;Aya;F;24/01/2008;Cape Coast;Seconde D;KOUASSI;Yao;+ 223 92094235
LOKOSSOU;Aissatou;F;28/07/2008;Kumasi;Seconde D;LOKOSSOU;Boeви;+ 223 99162579
NOMENYO;Hamidou;M;14/07/2007;Bouaké;Seconde D;NOMENYO;Ali;+ 223 97816912
TETEVI;Youssouf;M;09/01/2007;Yamoussoukro;Seconde D;TETEVI;Edem;+ 225 93551070
TOSSOU;Djénéba;F;13/04/2007;Conakry;Seconde D;TOSSOU;Komlan;+ 229 93589533
TSEVI;Akouvi;F;11/06/2008;Yamoussoukro;Seconde D;TSEVI;Mawuli;+ 225 97072684
TSIKATA;Dramane;M;16/02/2008;Sokodé;Seconde D;TSIKATA;Kwame;+ 223 90873851
DAKE;Dela;F;26/08/2005;Kumasi;Terminale A4;DAKE;Paul;+ 229 91582524
DAKU;Eyram;F;02/12/2006;Koudougou;Terminale A4;DAKU;Babacar;+228 91016911
DEKLU;Atsu;M;11/12/2006;Bassar;Terminale A4;DEKLU;Komlan;+ 229 93214348
DJAGBA;Yawo;M;30/12/2005;Sikasso;Terminale A4;DJAGBA;George;+ 223 97930103
EKLU;Edem;M;18/10/2005;Tchamba;Terminale A4;EKLU;Dodji;+ 223 93694634
ESSOFA;Akpene;F;15/09/2005;Aného;Terminale A4;ESSOFA;Ali;+ 221 93078418
HOEDANOU;Dzifa;F;22/05/2005;Thiès;Terminale A4;HOEDANOU;Oumar;+ 229 99046844
KANE;Youssouf;M;05/05/2005;Cotonou;Terminale A4;KANE;Lamine;+ 223 99042538
KOFFI;Marie;F;01/01/2006;Kpalimé;Terminale A4;KOFFI;Djo;+ 229 93903402
SABI;Ekoe;M;14/11/2005;Daloa;Terminale A4;SABI;Djo;+ 221 96897151
TAGBA;Enyonam;F;23/02/2005;Ouagadougou;Terminale A4;TAGBA;Boèvi;+228 93841005
TETEVI;Ewoenam;F;28/09/2006;Mopti;Terminale A4;TETEVI;Joseph;+ 221 93553384
TSEVI;Mawuli;M;10/12/2005;Accra;Terminale A4;TSEVI;Emmanuel;+ 225 97350099
TSIKATA;Sena;F;08/02/2006;Tchamba;Terminale A4;TSIKATA;Franck;+228 95672134
YOVO;Yao;M;28/01/2005;Bouaké;Terminale A4;YOVO;Modibo;+228 98626108
AKAKPO;Mawuena;F;15/11/2006;Atakpamé;Terminale D;AKAKPO;Komi;+ 229 94480460
AMOUZOU;Abena;F;10/01/2006;Labé;Terminale D;AMOUZOU;Seydou;+ 225 99847180
ATTIOGBE;Ibrahim;M;15/03/2006;Mbour;Terminale D;ATTIOGBE;Lamine;+ 221 95790218
BEAVOGUI;Kudzo;M;14/09/2005;Kpalimé;Terminale D;BEAVOGUI;Kwame;+ 229 91903561
FOLLY;Abdoulaye;M;23/04/2006;Cotonou;Terminale D;FOLLY;Joseph;+ 223 96425184
GBENOU;Adjoa;F;25/09/2006;Mbour;Terminale D;GBENOU;Pierre;+ 221 97639414
KANE;Nana;F;05/09/2006;Yamoussoukro;Terminale D;KANE;Ousmane;+ 229 98526867
LAWSON;Yayra;F;21/02/2006;Vogan;Terminale D;LAWSON;Mamadou;+ 221 94896624
N'DIAYE;Mamadou;M;09/02/2005;Kumasi;Terminale D;N'DIAYE;Amadou;+ 225 98518424
NOMENYO;Ousmane;M;26/11/2006;Bobo-Dioulasso;Terminale D;NOMENYO;Franck;+ 229 98310235
SANGARE;Moussa;M;27/07/2006;Dakar;Terminale D;SANGARE;Ibrahim;+ 221 94089126
SYLLA;Selorm;F;20/11/2005;Cotonou;Terminale D;SYLLA;Mawuli;+ 229 95213522
TOSSOU;Afua;F;02/07/2005;Abidjan;Terminale D;TOSSOU;Emmanuel;+ 221 96395997
TOURE;Bintou;F;22/04/2006;Parakou;Terminale D;TOURE;Ali;+228 92871230
TOURE;Dzigbodi;M;15/05/2005;Conakry;Terminale D;TOURE;Edem;+ 221 92037191
